Date,Meet Name,City,State,Venue,Type,FAT,Events,Registration Link,Distance from Buffalo,Entry Deadline,Ranking,Status,Notes
2026-06-13,Rutgers Summer Series Meet #1 estimated,Piscataway,NJ,Rutgers Track,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,390 miles,TBD,A,Estimated,Strong candidate if posted
2026-06-20,Rutgers Summer Series Meet #2 estimated,Piscataway,NJ,Rutgers Track,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,390 miles,TBD,A,Estimated,Strong candidate if posted
2026-06-27,USATF Niagara Open & Masters Championships,Rochester,NY,Roberts Wesleyan University,USATF,Yes,800/1500,https://niagara.usatf.org/26tf,75 miles,TBD,B,Confirmed,Good local FAT baseline meet
2026-06-27,USATF Niagara Junior Olympic Championships,Rochester,NY,Roberts Wesleyan University,USATF,Yes,800/1500,https://niagara.usatf.org/jotf25-1,75 miles,TBD,B,Confirmed,Youth pathway option
2026-07-08,Villanova Summer Twilight #1 estimated,Villanova,PA,Villanova Stadium,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,365 miles,TBD,A,Estimated,High-priority PR opportunity if open to unattached athletes
2026-07-10,USATF Region 2 Junior Olympics,Bethlehem,PA,Lehigh University,USATF,Yes,800/1500,https://niagara.usatf.org/events,310 miles,TBD,B,Confirmed,Stronger field but requires qualification/eligibility check
2026-07-10,Boston University All-Comers #1 estimated,Boston,MA,Boston University,Open / All-Comers,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,455 miles,TBD,A,Estimated,Longer trip but potentially strong field
2026-07-15,Villanova Summer Twilight #2 estimated,Villanova,PA,Villanova Stadium,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,365 miles,TBD,A,Estimated,Monitor Athletic.net weekly
2026-07-16,USATF Masters Outdoor Championships,Geneva,OH,SPIRE Institute,USATF,Yes,800/1500,https://niagara.usatf.org/events,160 miles,TBD,C,Confirmed,Check youth/open entry eligibility
2026-07-22,Villanova Summer Twilight #3 estimated,Villanova,PA,Villanova Stadium,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,365 miles,TBD,A,Estimated,Monitor Athletic.net weekly
2026-07-29,Villanova Summer Twilight #4 estimated,Villanova,PA,Villanova Stadium,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,365 miles,TBD,A,Estimated,Monitor Athletic.net weekly
2026-08-01,Garden State Track Club Open estimated,New Brunswick,NJ,Various Tracks,Club,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,390 miles,TBD,B,Estimated,Monitor for FAT and event schedule
2026-09-12,Villanova Early Season Meet estimated,Villanova,PA,Villanova Stadium,College Open,Yes,800/1500,https://www.athletic.net/TrackAndField/Calendar,365 miles,TBD,A,Watchlist,Check whether high school/unattached athletes may enter
